sample,0,1,2,3,4,0:0,0:1,0:2,0:3,target
0,0.00042422213004679395,0.00015727387513713717,0.001193640015780951,0.0007163156674026037,0.0009700404504630821,0,1,0,0,0.2459380641577558
1,0.0015145015204515414,0.00041408946256680276,0.9586868233047267,0.0036494207327873378,0.015358809720331781,0,1,0,0,0.2035828357172615
2,0.9998329249029851,0.9999310893687239,0.9996414824641533,0.9997400041663914,0.9996868964787365,0,0,1,0,0.0667962782946813
3,0.0004673927335351917,0.00017022917507756818,0.0013918164693160857,0.0008012818421377847,0.0011121138386498545,0,1,0,0,0.2407998889043188
4,0.004107456473700427,0.0007784515549946071,0.9941179665972052,0.03530942966183302,0.9914600868952139,0,1,0,0,0.1917789195945007
5,0.0002358220862277861,9.484575459551385e-05,0.000534830849316227,0.0003736193656657671,0.0004607954287994739,0,1,0,0,0.2903763366199139
6,0.9993122236556281,0.9997748216917912,0.9967356769099882,0.9986932074865951,0.9977910615296501,0,0,1,0,0.173725871406749
7,0.9995172979185986,0.9998280068501453,0.9984486688537654,0.9991562165130013,0.9987896349322793,0,0,1,0,0.1591445632551034
8,0.9998436847218096,0.9999351791046408,0.9996683306535814,0.9997576553982486,0.9997095631734236,0,0,1,0,0.0570754061935842
9,0.9996296625768497,0.9998618156673709,0.9989781801690709,0.9993780273301235,0.9991648551468334,0,0,0,1,0.1459519511179003
10,0.0009416506826197458,0.00028690163460686564,0.005645796089816266,0.0019452001715775686,0.004080416376517823,0,1,0,0,0.2153867518400222
11,0.00040382665287144655,0.00015089227449494833,0.0010045544414250787,0.0006776260204643127,0.0009094890926474534,0,1,0,0,0.2487154561866407
12,0.0004845804283735142,0.00017510180825966988,0.0013218129391337331,0.0008367636953981647,0.0011763650613283193,0,1,0,0,0.2389945840855436
13,0.9997704845262524,0.9999084223455437,0.9995095985536994,0.9996341415162714,0.9995444879217913,0,0,0,1,0.107068462713512
14,0.00033585953133053137,0.00012920131187537826,0.0007778213935443846,0.0005504866980119719,0.0007130342375169748,0,1,0,0,0.2605193723094015
15,0.999598227587374,0.9998517804531546,0.9989662228391439,0.9993185567170649,0.9990697809545835,0,0,1,0,0.1494236911540064
16,0.9996521181840085,0.9998684696611989,0.9991600774849154,0.9994218688776959,0.9992355297074252,0,0,1,0,0.1403416192195528
17,0.0005178650978140424,0.0001846231233945952,0.001471126435045441,0.000905077474265871,0.0012988514449764755,0,1,0,0,0.2358700180530482
18,0.0016121573826807494,0.00042935281225021097,0.9197583123052632,0.004062429156808539,0.02502266087507511,0,1,0,0,0.2028884877100402
19,0.00014373378837533943,6.032895320513024e-05,0.00027851672247447936,0.00022106565696751183,0.0002625640249681865,0,1,0,0,0.3542563532842661
