feature,category,0
0,0,-4.0770376093841266e-18
0,1,-0.0009103238081178927
0,2,-0.00010266443599692889
0,3,-1.4368959236283523e-18
0,4,0.005899471541150817
0,5,0.000503666834658917
0,6,-0.00012186009077043654
0,7,-0.0015492710608205808
0,8,-0.0012964383096430551
0,9,-6.927403832873025e-05
0,10,0.0014439361942097093
0,11,-0.0008827610655287678
0,12,-0.0012685519988255656
0,13,-0.001645929761987499
0,14,4.190911859433539e-19
1,0,0.0015753197010501283
1,1,-0.009581489094607543
1,2,0.0038483242544065065
1,3,0.004157845139150912
2,0,-4.430668134880195e-19
2,1,-0.001624234579510336
2,2,-9.399584289413234e-21
2,3,-0.00019702184351826744
2,4,0.005322892797576585
2,5,0.0005036668346589173
2,6,-0.0001218600907704354
2,7,-0.0011289707826093508
2,8,-0.0011348594977689424
2,9,-1.54346416867826e-18
2,10,0.0012112135989849485
2,11,-0.0013954601657486534
2,12,-0.0014353662712944647
2,13,5.247321828554758e-19
3,0,0.002600139333429965
3,1,-0.002015889397614829
3,2,0.0019800227407116813
3,3,-0.00018730797529327293
3,4,-0.0013629697671998457
3,5,-0.0005155941082271107
3,6,-0.002025073811787738
3,7,0.006355047387101633
3,8,0.00011928586234876846
3,9,9.053091392190621e-05
3,10,-0.0019397579785581775
3,11,-0.0005428881059195241
3,12,-0.00044042402750424863
3,13,-0.002115121065409219
4,0,1.989825359722272e-05
4,1,6.230232093469788e-20
4,2,0.0003229901568681732
4,3,-9.002088080532593e-05
4,4,-0.0002528675296600738
5,0,-0.0019045148027160917
5,1,-0.003443252246619422
5,2,-0.002711099832640684
5,3,-0.003127602187543243
5,4,0.004146896653779974
5,5,0.0010415158573876745
5,6,-0.0031605054283443306
5,7,0.0007715659393373966
5,8,-0.0011080525722998431
5,9,-0.0001440871130567432
5,10,0.0039900605992244705
5,11,0.0005002977748103483
5,12,0.004297378610219769
5,13,0.003295348293093851
5,14,2.2612118065412207e-19
5,15,0.0003508255039527039
5,16,0.0002523269802163499
5,17,-0.0027940647530397262
5,18,0.0033585988747795773
5,19,0.0003281452497974389
5,20,-0.0021057613086741885
5,21,-0.001137364442601818
5,22,-0.00046789963904722424
5,23,-0.00022875601001624433
6,0,0.0017730770513111676
6,1,-0.002955608301668057
6,2,-0.00017518088709733584
6,3,0.001357712137454226
7,0,1.0213450195644444e-19
7,1,-0.0016548150599263825
7,2,6.424891420516461e-20
7,3,-0.00047456171397958566
7,4,-0.0012749420315652166
7,5,0.0025041589146618734
7,6,6.232246737063966e-05
7,7,0.0008378374234386736
8,0,0.00033675623818946957
8,1,-0.0003367562381894715
9,0,4.38249227665288e-05
9,1,0.000368329774187395
9,2,-0.0004121546969539226
