feature,category,0
0,0,0.00537069707221393
0,1,0.01697492037648184
0,2,0.021230850309180736
0,3,1.3721020249623857e-15
0,4,0.03293622061905242
0,5,0.00864179628024658
0,6,0.009077784239764606
0,7,0.022896055533730655
0,8,-0.22707132023839105
0,9,0.00670127662654252
0,10,0.04881136112383834
0,11,0.007013153738368073
0,12,0.03596879887218264
0,13,0.011448405446766577
0,14,-3.681963853059035e-16
1,0,0.03059019579267278
1,1,-0.02356889494501059
1,2,-0.006479855826503634
1,3,-0.0005414450211643626
2,0,-7.170023232150279e-17
2,1,-0.032429205311921686
2,2,-6.88430181462569e-16
2,3,-4.4523931396824555e-05
2,4,-0.011232812256597148
2,5,9.047171743847697e-16
2,6,-0.022599843720790783
2,7,-0.019809631455641102
2,8,0.1851549591563101
2,9,3.6633579630342745e-16
2,10,-0.03775989630417091
2,11,-0.034024297970663114
2,12,-0.027254748205138832
2,13,-3.34731836908936e-16
3,0,-0.01845986358319677
3,1,-0.005013642338152361
3,2,0.012639069131473014
3,3,0.007843895863477574
3,4,-0.011021677694911218
3,5,-3.9182228740982103e-16
3,6,0.008021189382945408
3,7,0.015378170532726235
3,8,0.01236593760981871
3,9,0.022553925579274072
3,10,-0.018236677873843275
3,11,-0.003883295502623837
3,12,-0.0034533387821602778
3,13,-0.01873369232485435
4,0,-0.004788409752725129
4,1,2.551517625008335e-16
4,2,-0.012671284845165914
4,3,0.017459694597891207
4,4,6.41189697453188e-18
5,0,-0.018402165886123263
5,1,-0.041773161442997905
5,2,-0.012651712498447005
5,3,-0.043355199812191936
5,4,0.0795195201020071
5,5,0.02494612016078553
5,6,-0.0217659778864668
5,7,-0.01616428786140643
5,8,-0.023384725178656723
5,9,-0.008883030259465241
5,10,0.06814040722590585
5,11,-0.00536562030299396
5,12,0.04102380717272974
5,13,0.02466495143102482
5,14,8.344085903965774e-17
5,15,0.025963914322933268
5,16,-0.012883037627645814
5,17,-0.03298284304966212
5,18,-0.027077342391205433
5,19,0.009227837391752518
5,20,-0.03768908531676984
5,21,-0.015952628850836526
5,22,0.02738267621163513
5,23,0.017461584346107464
6,0,0.007193684977265024
6,1,-0.0101815149619096
6,2,0.01026025119196401
6,3,-0.00727242120732946
7,0,-3.6074303074364944e-31
7,1,-0.010984803113542583
7,2,0.0003064774545642607
7,3,0.0
7,4,0.010696591341503177
7,5,0.0026480986607029904
7,6,-0.002666364343214933
7,7,0.0
8,0,2.5150336043871374e-05
8,1,-2.5150336047447507e-05
9,0,-0.000831939956726382
9,1,-0.0011937205449369021
9,2,0.002025660501673045
