feature,category,0
0,0,0.00017975807154917693
0,1,-0.0027479539482934247
0,2,-6.996294278883107e-05
0,3,3.701535105999953e-18
0,4,0.011496038515152619
0,5,0.0005287094013749598
0,6,-0.00014412411930245206
0,7,-0.0025906912592528987
0,8,-0.0012240091225852138
0,9,-0.0002252768934404376
0,10,-0.0003014344645695054
0,11,-0.0005742934434309309
0,12,-0.002004355674101781
0,13,-0.0023224041203112654
0,14,7.451244484092122e-19
1,0,0.00010713624379752034
1,1,-0.00969574414059679
1,2,0.003102141567407539
1,3,0.006486466329391736
2,0,-1.1097468725199218e-18
2,1,-0.0029958707001879214
2,2,8.749821975981704e-19
2,3,-0.00033777885050944163
2,4,0.010777356395081615
2,5,0.0005287094013749612
2,6,-0.00014412411930244827
2,7,-0.0025990168531776553
2,8,-0.0004953785069493489
2,9,1.1393898165537583e-18
2,10,-0.0004175997414820156
2,11,-0.001617381745443588
2,12,-0.002698915279404158
2,13,-1.5572805802206845e-19
3,0,-6.585837867927372e-05
3,1,-0.002353421855535008
3,2,0.0011794707981354045
3,3,-0.000521935912296758
3,4,-0.001239609739803349
3,5,-2.2166791620541482e-18
3,6,-0.001570621797976066
3,7,0.009159669594462674
3,8,-7.249463670690735e-05
3,9,0.0003502674620018552
3,10,-0.001839022808609576
3,11,-0.0010466664780986394
3,12,-0.0002750638564625475
3,13,-0.0017047123904317964
4,0,0.005495415054565916
4,1,6.501343414072432e-20
4,2,-0.005493316578138067
4,3,-2.0984764278508036e-06
4,4,-3.378684374821871e-20
5,0,-0.0005522673013809356
5,1,-0.003961328789469328
5,2,-0.0009489093640151292
5,3,-0.004116339451691153
5,4,0.007938479264933726
5,5,0.0008509902105879946
5,6,-0.0045755739336891775
5,7,0.0012532778398267018
5,8,-0.0009422027045301021
5,9,-0.0001347224222936942
5,10,0.00831313165256572
5,11,-0.0007548530024316285
5,12,0.003242737567151644
5,13,0.002096554716609033
5,14,1.46717540953544e-19
5,15,-0.00018629474601679016
5,16,-0.0005491113590456534
5,17,-0.0046214395089425216
5,18,1.0698974442677981e-05
5,19,0.0015600497804614925
5,20,-0.001497890853167421
5,21,-0.0019385462984499518
5,22,-0.00048644027145551143
5,23,4.466625492474635e-21
6,0,0.005711019273231038
6,1,-0.0048941741954867364
6,2,-0.0015471798743217464
6,3,0.0007303347965774423
7,0,1.9147872157882077e-19
7,1,-0.003988301843152641
7,2,-0.00025915525607493427
7,3,-9.246847411744749e-05
7,4,-0.0015822673047228694
7,5,0.005679781291274496
7,6,-7.249463670690824e-05
7,7,0.00031490622350030593
8,0,-6.2353957342482e-05
8,1,6.235395734247983e-05
9,0,0.0003417928429536398
9,1,-0.0006920427700093264
9,2,0.00035024992705568153
