feature,category,0
0,0,-0.01565536407970737
0,1,0.01584168738812971
0,2,0.00750899237230893
0,3,-4.3827154326713887e-16
0,4,0.024425924685557647
0,5,-0.005855784178270061
0,6,-0.0253820234612896
0,7,0.006201069058611796
0,8,-0.0034170604423344507
0,9,-0.013259817220692029
0,10,-0.013468214354005092
0,11,-0.005037953339340456
0,12,0.02681524700091013
0,13,0.001283296570120683
0,14,7.166892791711003e-16
1,0,-0.001260266639942801
1,1,-0.011313212368597917
1,2,0.011109716849294135
1,3,0.0014637621592484152
2,0,-1.3882092388530388e-16
2,1,-0.02058530150790601
2,2,6.012684635179326e-18
2,3,0.0008592300107574669
2,4,0.01915232894197618
2,5,-1.2289213128193788e-15
2,6,-0.027636066038237636
2,7,0.007861423235283136
2,8,-0.0034170604423375463
2,9,-4.120389086410373e-16
2,10,0.00872505587524755
2,11,0.009385021784338097
2,12,0.005655368140876551
2,13,-1.0462203258774403e-15
3,0,-0.012451117125816903
3,1,-0.01688888339938381
3,2,0.025902646318929544
3,3,-0.015054354820494173
3,4,-0.021902348645607493
3,5,6.662363148381685e-17
3,6,0.0058821958429271185
3,7,0.03801718166553588
3,8,-0.021803258524290943
3,9,0.02438385112788742
3,10,-0.004798891540364174
3,11,0.017783073207674138
3,12,0.0021471440625124008
3,13,-0.02121723816950666
4,0,0.0019470557985564931
4,1,6.281396460138805e-16
4,2,-0.01791380961111444
4,3,0.01596675381254301
4,4,-3.184486041446833e-16
5,0,-0.04024477379765062
5,1,-0.05015479308315292
5,2,-0.01453434031157403
5,3,-0.041773216661551156
5,4,0.09440669312031931
5,5,0.013330805500831485
5,6,-0.028378897138954425
5,7,-0.022592657672665335
5,8,-0.024928305150512472
5,9,-0.0002463083486279275
5,10,0.09899346497808
5,11,-0.01327330267859081
5,12,0.08483109546673884
5,13,0.04482807319073013
5,14,4.390074128155746e-17
5,15,0.02536709995807225
5,16,-0.015443772347390205
5,17,-0.04714468531379108
5,18,-0.029133663501580392
5,19,0.005556575488489493
5,20,-0.02091720080901972
5,21,-0.023760955946315016
5,22,-0.015428337090572359
5,23,0.020641402148685956
6,0,0.014986518204499807
6,1,-0.0024789130361969293
6,2,0.016569021830039214
6,3,-0.02907662699834822
7,0,0.0
7,1,-0.018130292801753406
7,2,-0.026173796137532304
7,3,0.0
7,4,-0.00609031945453109
7,5,0.009982712391416928
7,6,0.0404116960023984
7,7,0.0
8,0,-0.01529361299083205
8,1,0.015293612990829453
9,0,0.007931337785866573
9,1,-0.002468499039063798
9,2,-0.005462838746799441
