feature,category,0
0,0,0.026054358839206322
0,1,-0.008314671140569909
0,2,-0.016307157320140916
0,3,-1.3817104740136186e-15
0,4,0.010921166609059691
0,5,-0.009335701491839906
0,6,-0.0011603504752860407
0,7,-0.0010020297906316311
0,8,-0.009141972909850577
0,9,0.00217159245408573
0,10,-0.014953029129344549
0,11,-0.006569296055364592
0,12,0.017750441373074202
0,13,0.009886649037579378
0,14,-5.632128483590724e-16
1,0,-0.009553220951359314
1,1,-0.010229878347342538
1,2,0.011142633174240106
1,3,0.008640466124456243
2,0,-6.326631700179321e-16
2,1,-0.006066613620791467
2,2,2.8473136504410255e-16
2,3,0.010013921090101864
2,4,0.0209155918078473
2,5,4.692893812260014e-18
2,6,-0.004631937168301299
2,7,0.009062692833736688
2,8,-0.00914197290985492
2,9,-2.1032312310687233e-16
2,10,0.002294790092762891
2,11,-0.0024525724216713785
2,12,-0.01999389970384949
2,13,-5.251790699671016e-16
3,0,-0.01825966930265836
3,1,-0.01617337530316597
3,2,0.013609214211665069
3,3,0.009182387465134962
3,4,0.020867663441540816
3,5,-4.3493929463647894e-16
3,6,0.005450569779589888
3,7,0.017437000898810354
3,8,0.010869918544911598
3,9,0.02266572034473224
3,10,-0.02222957010218486
3,11,0.006003156841667797
3,12,-0.01844176920943054
3,13,-0.03098124761062445
4,0,0.0017114310213864228
4,1,3.07055490146803e-16
4,2,-0.009932056620948487
4,3,0.008220625599579149
4,4,1.1452674590645909e-15
5,0,-0.047415818602646896
5,1,-0.03976483340165488
5,2,-0.01744873993029488
5,3,-0.041109149350389965
5,4,0.08469691662482225
5,5,0.017841666564779167
5,6,-0.021688221783884905
5,7,-0.015793390861185367
5,8,-0.027065053883251842
5,9,-0.012792572672303089
5,10,0.07288016277012127
5,11,-0.0049324758405467455
5,12,0.08069537828991358
5,13,0.029536135263154583
5,14,2.6397632061367257e-17
5,15,0.04013307287766204
5,16,-0.009203809157652204
5,17,-0.03282602328172574
5,18,-0.028014783730569526
5,19,0.011932654415748735
5,20,-0.02618953183655696
5,21,-0.021936923475069765
5,22,-0.022425099159637946
5,23,0.030890440161150796
6,0,0.006305723082323285
6,1,-0.006572420314262273
6,2,0.0046491040397919625
6,3,-0.0043824068078455415
7,0,0.0
7,1,-0.005580435509145387
7,2,0.012458546221173875
7,3,0.0
7,4,0.007511485869568584
7,5,0.012269417616495528
7,6,-0.026659014198079
7,7,0.0
8,0,-0.0013192959639212482
8,1,0.0013192959639209776
9,0,-0.0005917376369282087
9,1,-0.0007167941107809103
9,2,0.0013085317477328378
