feature,category,0
0,0,8.762562867921316e-19
0,1,0.0034345965297093665
0,2,-1.0691473395533496e-18
0,3,-3.64709124171124e-18
0,4,0.008111118121555554
0,5,2.3142341288850416e-19
0,6,0.0010337353912253417
0,7,-0.00552883306103552
0,8,-0.0010011477674613703
0,9,-0.0002704156869932449
0,10,0.0038935653998279827
0,11,-0.001755539007774231
0,12,-0.0038548247296237223
0,13,-0.004062255189430151
0,14,-7.746102050534614e-19
1,0,0.0045943671725726
1,1,-0.01371330195367987
1,2,0.004916087944443219
1,3,0.00420284683666405
2,0,-2.721222741445073e-19
2,1,0.0012295684915596674
2,2,8.836064737821192e-19
2,3,-0.0005281024270553286
2,4,0.008111118121555554
2,5,3.130147861429804e-19
2,6,0.0010337353912253425
2,7,-0.00530997239738621
2,8,-0.0023845144459393405
2,9,-1.869000246263977e-19
2,10,0.0020311960074319664
2,11,-0.0008381809712016493
2,12,-0.003344847770190001
2,13,2.0196128808037787e-35
3,0,0.0065336115791704555
3,1,-0.0063824908604881315
3,2,0.0012412589937355265
3,3,-0.0006110547409627897
3,4,-0.0010413469162927663
3,5,0.0
3,6,-0.0050293784127065306
3,7,0.009237882786426642
3,8,0.0010337353912253414
3,9,0.0012056339143146442
3,10,-0.004512241550430644
3,11,-4.212031687956635e-05
3,12,-0.0009471009860866152
3,13,-0.0006863888810255524
4,0,0.0014872049709996594
4,1,0.0
4,2,-0.0014872049709996591
4,3,0.0
4,4,0.0
