feature,category,0
0,0,-5.624127993683325e-19
0,1,-0.002661716553582891
0,2,1.0437155765794268e-18
0,3,1.9581619095935337e-18
0,4,0.010502388368845065
0,5,0.001526169165573371
0,6,-2.035781243946214e-19
0,7,-0.0003216055464334154
0,8,-0.001048830734982098
0,9,1.3408683071690518e-18
0,10,0.0029328411131445743
0,11,-0.0018743670846920705
0,12,-0.004226857523410161
0,13,-0.004828021204462386
0,14,7.527763540200334e-19
1,0,0.0007518118129170197
1,1,-0.01111686661399467
1,2,0.005092537975088688
1,3,0.005272516825988968
2,0,6.803192159144654e-19
2,1,-0.0037604689535663555
2,2,-3.0346547227038974e-19
2,3,-0.0010324103541235752
2,4,0.010502388368845069
2,5,0.0015261691655733744
2,6,5.281612599600352e-36
2,7,-0.0016462525271415615
2,8,-0.0010488307349820983
2,9,2.5269883143741665e-36
2,10,0.002932841113144574
2,11,-0.002645414873287038
2,12,-0.004828021204462387
2,13,0.0
3,0,0.001322112761827665
3,1,-0.002289943353194549
3,2,-0.0020584372402166966
3,3,0.0
3,4,-0.0014248244345039676
3,5,0.0
3,6,-0.004007997614744501
3,7,0.01069076428523212
3,8,0.0026326897717915358
3,9,-0.001092386007166939
3,10,-0.001906853113934365
3,11,-0.0010116271728797224
3,12,0.0
3,13,-0.0008534978822105732
4,0,0.005563687905986073
4,1,0.0
4,2,-0.005563687905986072
4,3,0.0
4,4,0.0
