feature,category,0
0,0,2.358572130948506e-18
0,1,-0.0018915462525415153
0,2,-0.0001154301284350919
0,3,-1.0920924478451923e-18
0,4,0.0076876400514666885
0,5,1.0505396105221999e-19
0,6,0.00044963868045812944
0,7,-0.00299234921355891
0,8,-0.0008177945232100258
0,9,1.1637803558986504e-18
0,10,0.0012311575460850841
0,11,-0.0004825507671865336
0,12,-0.0006288266262908385
0,13,-0.002439938766786989
0,14,-1.4840409030479272e-18
1,0,6.182136041619709e-19
1,1,-0.0074276866955894855
1,2,0.0032273082424975285
1,3,0.004200378453091955
2,0,-2.8564381114701374e-19
2,1,-0.0011516341080079402
2,2,-5.436308779062452e-20
2,3,0.0002717272844894264
2,4,0.006014503255288004
2,5,1.4491695454855867e-34
2,6,0.0004496386804581289
2,7,-0.0028432526298075864
2,8,0.0
2,9,0.0
2,10,0.0012311575460850826
2,11,-0.0009005539107802668
2,12,-0.003071586117724845
2,13,0.0
3,0,0.001154531268951489
3,1,-0.0017574252244849952
3,2,0.0024422563689123038
3,3,-0.00019384625737755017
3,4,-0.0019178748543348823
3,5,0.0
3,6,-0.0018601188835170159
3,7,0.0065023189104190205
3,8,0.0
3,9,0.00018719458796468395
3,10,-0.0023029204014510616
3,11,0.0
3,12,0.0
3,13,-0.0022541155150819833
4,0,0.0003412393739975559
4,1,0.0
4,2,-0.0004975365300518926
4,3,0.00015629715605433486
4,4,0.0
