feature,category,0
0,0,-0.0063302761163062365
0,1,-0.011414147605487378
0,2,0.008305951467711696
0,3,-3.001160454543006e-17
0,4,0.04745198811442532
0,5,0.003014602520602656
0,6,-0.011325543489454035
0,7,-0.0025032172535642827
0,8,-0.00340690940080636
0,9,-0.006195162241595685
0,10,-0.003094025971182383
0,11,-0.0007308122082914828
0,12,-0.006157728889306881
0,13,-0.007614718926744883
0,14,-5.560326100598285e-18
1,0,-0.0014271225829517262
1,1,-0.02200323305118935
1,2,-0.017710759118548414
1,3,0.041141114752689424
2,0,-5.617814142616119e-18
2,1,-0.0059789221394694544
2,2,-7.039121548553766e-18
2,3,-0.0001495114436278356
2,4,0.03276122166780258
2,5,0.0030146025206026577
2,6,0.0048450909455444
2,7,-0.011701203634267843
2,8,-0.0020871176578962326
2,9,-2.3038670490095642e-18
2,10,-0.004749474986310717
2,11,-0.008886865449031889
2,12,-0.00706781982334573
2,13,-8.54750634074099e-18
3,0,-0.003074092563034536
3,1,-0.006167790381247188
3,2,-0.010785156354881871
3,3,0.003677812084117781
3,4,0.0034097402991241513
3,5,4.0996557191177136e-18
3,6,-0.007920865908604371
3,7,0.024563152227072782
3,8,-0.006118734964839502
3,9,0.0027975004525630804
3,10,-0.0005205215645669465
3,11,0.007110292735604205
3,12,-0.004249928318434295
3,13,-0.0027214077428730984
4,0,0.015700499840944904
4,1,-8.458331305234877e-19
4,2,-0.021280136695338063
4,3,0.0055796368543932304
4,4,-7.288004367227352e-19
