feature,category,0
0,0,-0.003962922875817461
0,1,-0.0037463040060748513
0,2,0.006276454022261392
0,3,-3.062407234926263e-17
0,4,0.0741829902684691
0,5,0.004488475840975731
0,6,-0.0051843764028119445
0,7,-0.013792802101951732
0,8,-0.012475458011451033
0,9,-0.0031967890963655347
0,10,-0.005450928763822697
0,11,-0.010549566895705818
0,12,-0.019560330752144982
0,13,-0.007028441225560202
0,14,2.765794809877717e-19
1,0,-0.001153617899474289
1,1,-0.05253324440043783
1,2,0.010700322632309037
1,3,0.0429865396676032
2,0,1.0799474990616401e-17
2,1,0.0037670962986696647
2,2,6.934495051932589e-18
2,3,-0.010257061947421677
2,4,0.06175289965836307
2,5,0.004488475840975746
2,6,-0.005184376402811894
2,7,-0.00953105905565126
2,8,-0.012527753609724754
2,9,-5.630631160330176e-18
2,10,-0.017182583645579737
2,11,-0.0018085611278249245
2,12,-0.013517076008994263
2,13,-5.11197075853334e-18
3,0,0.0010169977626613078
3,1,-0.021044009132255216
3,2,0.008932465399632477
3,3,0.0067164716439417245
3,4,-0.002252808199247872
3,5,5.93359254425459e-18
3,6,-0.013819213214665955
3,7,0.046387914776195235
3,8,-0.00435230980775537
3,9,0.007675026832817764
3,10,-0.010100259799591966
3,11,-0.01702188138636796
3,12,-0.005486362817792279
3,13,0.003347967942428254
4,0,0.02183725973504834
4,1,-1.271750094278521e-18
4,2,-0.027280548539815347
4,3,0.005443288804766999
4,4,8.770711405516212e-20
