feature,category,0
0,0,1.83901645971076e-18
0,1,-0.0020531459403783574
0,2,-7.676434645711674e-05
0,3,1.1525390277854035e-18
0,4,0.006390762772515405
0,5,1.3345435278404113e-18
0,6,0.0004162571624601255
0,7,-0.002503555137361223
0,8,-0.0008583727648837034
0,9,1.1378465903097062e-19
0,10,0.001193226105295179
0,11,-0.0005187945340380005
0,12,-0.0007293650455562984
0,13,-0.001260248271596005
0,14,7.373606445186647e-19
1,0,7.648804609405736e-19
1,1,-0.0056813088026082485
1,2,0.002678979991962106
1,3,0.0030023288106461442
2,0,-2.1340140154147026e-19
2,1,-0.0012519903998499974
2,2,-1.122769201371295e-19
2,3,0.0002806339326757981
2,4,0.004654470120646211
2,5,-1.7586415338982155e-19
2,6,0.00041625716246012853
2,7,-0.0025180707438596907
2,8,0.0
2,9,0.0
2,10,0.0011932261052951798
2,11,-0.0010099989782320984
2,12,-0.001764527199135541
2,13,0.0
3,0,0.0012511965541067813
3,1,-0.002031944903474469
3,2,0.0027697896353864083
3,3,-0.000298678118365345
3,4,2.1604227546441045e-05
3,5,0.0
3,6,-0.001885093187789193
3,7,0.004288369577179059
3,8,0.0
3,9,-2.9950666376140408e-05
3,10,-0.002074743151958778
3,11,0.0
3,12,0.0
3,13,-0.0020105499662547636
4,0,-0.0010234055327712932
4,1,0.0
4,2,0.00082631646800628
4,3,0.0001970890647650114
4,4,0.0
