feature,category,0
0,0,-0.006527249643751327
0,1,-0.009830489245772553
0,2,0.008205475405747467
0,3,-3.975964651668724e-17
0,4,0.052996097536159206
0,5,0.0032749332004007206
0,6,-0.008757880320884533
0,7,-0.011258579897958126
0,8,-0.0030741317066237586
0,9,-0.00589898984707414
0,10,-0.0024937553285340978
0,11,-0.00011452117286368975
0,12,-0.005032527765917488
0,13,-0.011488381212927782
0,14,2.934729906175344e-18
1,0,-0.0017054192295087689
1,1,-0.02279403761197062
1,2,-0.014851187061452019
1,3,0.03935064390293132
2,0,9.924786351677662e-18
2,1,-0.006115299036621996
2,2,-2.6125163534866176e-18
2,3,0.0002102863902395946
2,4,0.038440210330332174
2,5,0.0032749332004006993
2,6,-0.008757880320884464
2,7,-0.005612617102474283
2,8,-0.00172507956645268
2,9,1.2736052414930086e-17
2,10,-0.003802314995391288
2,11,-0.008044533556133073
2,12,-0.007867705343014744
2,13,1.6176191659557302e-18
3,0,-0.0029231014081867943
3,1,-0.004175911011454665
3,2,-0.010966076166545762
3,3,0.004081652276261668
3,4,0.0041981843250208034
3,5,2.2714929578949207e-18
3,6,-0.004410990813280682
3,7,0.02265600603861219
3,8,-0.005799574791912837
3,9,-0.006603413882123394
3,10,0.0017820936298072257
3,11,0.0068845045777269995
3,12,-0.004427195307143392
3,13,-0.0002961774667815456
4,0,0.02277844398108333
4,1,3.584407080303287e-18
4,2,-0.028333574596019925
4,3,0.005555130614936645
4,4,-7.051516809794004e-19
