feature,category,0
0,0,-0.003103309178667703
0,1,-0.0019915335014129448
0,2,0.006377897153423308
0,3,0.0
0,4,0.07803683256405042
0,5,0.004723028029303185
0,6,-0.003929712225572977
0,7,-0.010035629139443069
0,8,-0.025717715919255594
0,9,-0.002141020230117629
0,10,-0.01797722247811999
0,11,-0.010488304296449197
0,12,-0.013065144975108465
0,13,-0.0006881658026351032
0,14,0.0
1,0,-0.0012924019485116155
1,1,-0.055464423915890154
1,2,0.009482435109251895
1,3,0.047274390755146986
2,0,0.0
2,1,0.005572107787169172
2,2,0.0
2,3,-0.009489738153645136
2,4,0.0658479715474166
2,5,0.004723028029303184
2,6,-0.003929712225572972
2,7,-0.006154866415612342
2,8,-0.010856413880386748
2,9,0.0
2,10,-0.025548226823806724
2,11,-0.012904739545653528
2,12,-0.00725941031921619
2,13,0.0
3,0,0.000853451263825328
3,1,-0.021053341368846727
3,2,0.009440572608084454
3,3,0.006796390782307795
3,4,0.00790501609119782
3,5,0.0
3,6,-0.034247248304446386
3,7,0.046284809944052034
3,8,-0.004473366807620367
3,9,0.01617876743919332
3,10,-0.008628172487307533
3,11,-0.016976148925612132
3,12,-0.005484657305464667
3,13,0.003403927070630191
4,0,0.0249244990723376
4,1,0.0
4,2,-0.03042593492927753
4,3,0.005501435856939571
4,4,0.0
