feature,category,0
0,0,-0.00685044280652726
0,1,-0.0027140969305560134
0,2,0.008660112028036807
0,3,-2.8253330610506217e-17
0,4,0.041440455954874084
0,5,0.0027239961726053556
0,6,0.002464481370798733
0,7,-0.007539918803093799
0,8,-0.004681056326226915
0,9,-0.007092167284623453
0,10,-0.004653669661217292
0,11,-0.0012784505035343453
0,12,-0.011048941745768981
0,13,-0.009430301464766973
0,14,-7.501710894899866e-18
1,0,-0.0016078944245799366
1,1,-0.020011656498450492
1,2,-0.021249100398092233
1,3,0.0428686513211226
2,0,-9.064304321362265e-18
2,1,-0.011426208306243892
2,2,-3.672947238894336e-18
2,3,-0.0008037577105081749
2,4,0.02644628624015397
2,5,0.002723996172605313
2,6,0.002851150382595898
2,7,-0.0050677951453055176
2,8,-0.002249622534587485
2,9,3.930337771949168e-18
2,10,-0.005562763818797046
2,11,0.0018490301429767448
2,12,-0.008760315422889825
2,13,-3.917659076051569e-18
3,0,-0.0019398895762470017
3,1,-0.007033788057125099
3,2,-0.008163565755959598
3,3,0.0034215126586468855
3,4,0.003078214689102193
3,5,2.9819490324524533e-18
3,6,0.0005193378053012371
3,7,0.02752233573150155
3,8,-0.006161474019408341
3,9,0.0009704560556978575
3,10,-0.012066431466352522
3,11,0.007429129701086473
3,12,-0.003971698759245145
3,13,-0.0036041390069983976
4,0,0.011375380747311334
4,1,-1.0553668887276481e-17
4,2,-0.01727260971417195
4,3,0.005897228966860537
4,4,-9.008698142142766e-19
