feature,category,0
0,0,1.9725866780702307e-18
0,1,-0.003559842037434669
0,2,-3.0213174238736e-18
0,3,2.3220592871438243e-20
0,4,0.012867099103514777
0,5,0.001574854115682265
0,6,6.830474014260828e-19
0,7,-0.0006427004657809348
0,8,-0.0009686976334340233
0,9,4.236193184029429e-19
0,10,0.0029867317646553966
0,11,-0.0017043534860426708
0,12,-0.0032057847378552185
0,13,-0.007347306623304916
0,14,1.1125142195644166e-18
1,0,0.0005974914661243699
1,1,-0.014164671298929274
1,2,0.007786592928885895
1,3,0.005780586903919012
2,0,2.3368184877371114e-19
2,1,-0.004710611789360417
2,2,-3.5949768976863913e-19
2,3,-0.0008977142235792434
2,4,0.01286709910351477
2,5,0.0015748541156822614
2,6,-3.1311787618459234e-35
2,7,-0.001821264425644735
2,8,-0.0009686976334340215
2,9,0.0
2,10,0.0029867317646553957
2,11,-0.0016830902885291012
2,12,-0.007347306623304918
2,13,0.0
3,0,0.0003000856799551721
3,1,-0.003752214670202
3,2,-0.0006754229399286013
3,3,0.0
3,4,-0.0012837110830830937
3,5,0.0
3,6,-0.004623673814498169
3,7,0.014262543183799787
3,8,0.002689758072286963
3,9,-0.0014738507346689442
3,10,-0.003992980704441715
3,11,-0.0009116614951285828
3,12,0.0
3,13,-0.0005388714940908213
4,0,0.008681285669458439
4,1,0.0
4,2,-0.008681285669458437
4,3,0.0
4,4,0.0
